id,train_or_test,cap_shape,shape,sColour,is_imputed,sColour_mode,sColour_smart
0,test,f,t,w,no,w,w
1,test,x,t,h,no,h,h
2,test,x,e,k,no,k,k
3,test,x,t,k,yes,w,n
4,test,k,e,n,no,n,n
5,test,k,t,w,no,w,w
6,test,b,e,w,no,w,w
7,test,f,e,k,no,k,k
8,test,f,e,h,no,h,h
9,test,f,t,n,no,n,n
10,test,f,t,k,no,k,k
11,test,f,t,n,no,n,n
12,train,f,e,w,no,w,w
13,test,f,t,k,no,k,k
14,test,b,e,n,yes,w,n
15,train,k,t,w,yes,w,w
16,test,f,t,n,yes,w,n
17,test,x,t,w,no,w,w
18,test,x,t,n,no,n,n
19,train,f,t,n,yes,w,n
20,train,x,e,h,no,h,h
21,test,f,t,h,yes,w,n
22,test,f,t,k,no,k,k
23,test,f,t,k,yes,w,n
24,test,x,t,k,yes,w,n
25,train,f,t,h,yes,w,n
26,test,b,e,k,yes,w,n
27,test,f,t,n,no,n,n
28,train,f,e,w,no,w,w
29,test,f,t,k,no,k,k
30,test,x,t,w,no,w,w
31,test,x,t,k,no,k,k
32,test,x,e,n,no,n,n
33,train,x,t,k,no,k,k
34,test,f,t,w,no,w,w
35,test,x,e,h,no,h,h
36,test,k,e,w,no,w,w
37,test,x,e,k,no,k,k
38,test,x,e,k,no,k,k
39,train,x,t,n,no,n,n
40,test,x,e,h,yes,w,h
41,test,f,t,n,no,n,n
42,test,x,t,k,yes,w,n
43,test,f,e,r,yes,w,h
44,test,f,t,k,no,k,k
45,test,x,t,n,yes,w,n
46,test,x,t,h,yes,w,n
47,test,x,e,h,yes,w,h
48,train,x,e,h,yes,w,h
49,train,f,e,b,no,b,b
50,test,x,e,n,no,n,n
51,train,x,e,h,no,h,h
52,test,x,t,n,no,n,n
53,test,f,e,h,no,h,h
54,test,x,e,n,no,n,n
55,test,k,t,w,yes,w,w
56,test,f,e,k,no,k,k
57,test,b,e,k,no,k,k
58,train,k,e,w,no,w,w
59,test,x,e,b,no,b,b
60,test,x,e,h,no,h,h
61,test,k,t,w,no,w,w
62,train,k,t,w,no,w,w
63,train,x,e,n,no,n,n
64,test,f,t,n,no,n,n
65,train,x,e,h,no,h,h
66,train,x,e,n,no,n,n
67,train,k,e,w,no,w,w
68,test,x,t,k,no,k,k
69,test,x,e,n,no,n,n
70,train,x,t,k,no,k,k
71,test,x,t,w,no,w,w
