id,actual,N (ngrams),C (chi^2),W (worst),R (random),X (random2)
0,Neither,Neither,Play,Science,Neither,Neither
1,Neither,Play,Neither,Play,Science,Science
2,Neither,Neither,Play,Neither,Play,Neither
3,Neither,Science,Neither,Play,Neither,Neither
4,Neither,Neither,Neither,Play,Neither,Neither
5,Neither,Neither,Neither,Science,Neither,Science
6,Neither,Science,Neither,Play,Neither,Neither
7,Neither,Neither,Neither,Science,Science,Neither
8,Neither,Neither,Play,Play,Science,Neither
9,Neither,Neither,Science,Neither,Neither,Neither
10,Neither,Neither,Neither,Neither,Play,Neither
11,Neither,Neither,Science,Neither,Neither,Neither
12,Neither,Neither,Neither,Play,Neither,Neither
13,Neither,Neither,Science,Science,Neither,Neither
14,Neither,Science,Neither,Science,Neither,Neither
15,Neither,Neither,Neither,Science,Play,Science
16,Neither,Science,Neither,Neither,Neither,Science
17,Neither,Science,Neither,Neither,Neither,Neither
18,Neither,Neither,Neither,Neither,Neither,Neither
19,Neither,Neither,Neither,Play,Neither,Neither
20,Neither,Neither,Neither,Play,Play,Neither
21,Neither,Neither,Science,Play,Neither,Neither
22,Neither,Play,Neither,Play,Play,Science
23,Neither,Science,Neither,Science,Neither,Neither
24,Neither,Neither,Neither,Science,Neither,Neither
25,Neither,Neither,Neither,Neither,Neither,Neither
26,Neither,Neither,Neither,Neither,Neither,Neither
27,Neither,Neither,Neither,Neither,Neither,Neither
28,Neither,Neither,Neither,Science,Science,Neither
29,Neither,Neither,Neither,Science,Neither,Neither
30,Neither,Neither,Science,Neither,Neither,Neither
31,Neither,Neither,Science,Neither,Neither,Neither
32,Neither,Neither,Neither,Neither,Neither,Neither
33,Neither,Neither,Neither,Neither,Neither,Neither
34,Neither,Neither,Science,Play,Science,Neither
35,Neither,Neither,Neither,Neither,Neither,Neither
36,Neither,Neither,Neither,Neither,Neither,Neither
37,Neither,Neither,Neither,Neither,Neither,Neither
38,Neither,Science,Neither,Neither,Neither,Neither
39,Neither,Neither,Science,Play,Neither,Neither
40,Neither,Neither,Neither,Science,Neither,Neither
41,Neither,Neither,Neither,Science,Neither,Neither
42,Neither,Neither,Neither,Neither,Neither,Neither
43,Neither,Neither,Neither,Neither,Neither,Neither
44,Neither,Neither,Science,Neither,Neither,Neither
45,Neither,Neither,Neither,Neither,Neither,Neither
46,Neither,Neither,Neither,Neither,Neither,Neither
47,Neither,Neither,Neither,Neither,Neither,Neither
48,Neither,Neither,Neither,Science,Neither,Neither
49,Neither,Science,Science,Science,Science,Science
50,Neither,Neither,Neither,Science,Neither,Neither
51,Neither,Neither,Neither,Neither,Neither,Neither
52,Neither,Neither,Neither,Neither,Neither,Neither
53,Neither,Neither,Neither,Neither,Neither,Neither
54,Neither,Neither,Neither,Science,Neither,Neither
